text,label,notes
"Can we talk about how fontaine is literally a dictatorship now. I've been rewatching the end of the Fontaine Archon quest, and the more you look at the actual lore, the worse it gets. Focalors didn't save Fontaine's political system. She accidentally set up an absolute autocracy... Think about how the government actually worked before: You had the Hydro Archon as the executive face, Neuvillette running the judicial branch, and the Oratrice acting as a literal machine check-and-balance. The Oratrice could, and did completely overrule Neuvillette's personal verdicts, like it did with Tartaglia. There was a separation of powers. But look at what the ending actually did: The Oratrice is completely destroyed. Neuvillette is now the final judge, jury, and executioner... Focalors didn't democratize Fontaine. She just replaced a fake god with an all-powerful monarch and we all ignored the political horror of it because the cutscene was sad.",lore_analysis,Textbook lore_analysis: makes a structured argument about Fontaine's political system with specific textual evidence from the game
imagine going back in time and telling someone jumping on the roofs in Mondstad that this is where we're going,reaction_opinion,Nostalgic reaction/observation
"So when are we getting Fat playable characters? This model type would be so cool to play as. The closest the Game has is Varessa, and she ain't big enough",reaction_opinion,Opinion/request
"You know what I just realised? whenever the other harbingers are talking about Rosalyne, the traveler has no clue what anybody's going on about cause they don't know her real name lmao",lore_analysis,Edge case - brief but makes a specific lore observation about narrative consistency; borderline reaction_opinion but has a real lore point
Tsaritsa having pink hair is instant. Like why? It doesn't even fit,reaction_opinion,Quick reaction/opinion about character design
"Yo, Anastasya, girl they coming for you, better get that project stuzha up and running with your five harbingers",reaction_opinion,Reaction to story events
"The chokehold this one lizard has on this entire fandom is so funny to me, how did we get here",reaction_opinion,Reaction/observation about fandom culture
"Who's the next next playable Hexenzircle member? I think the next one is gonna be Barbeloth, and Alice is gonna be close to last. What ya'll think?",lore_analysis,Edge case - speculation about future characters with a stated reasoning; leans lore_analysis over reaction_opinion because it makes a specific prediction with brief justification
"they ruined arlecchino, they made her soft!! like oh my GOD her entire story quest was about hiding behind the 'lies' and deceptions to enforce safety of HoH, she OPENLY says that she likes people having misconceptions of her. Woman shown openly lying about everything she holds dear in order to protect it gets accused of lying about how she feels about someone she holds dear. But I guess anything complex just flies over peoples heads in this game and everything is a retcon if they want it to be. Same thing happens EVERYTIME this game tries to add something complex to the story like false narratives (Neuvilette and Zhongli's introductions to the new regions) or characters not directly telling things to the traveler (Heizou, Albedo etc.). People just need to read more books imo",lore_analysis,Edge case - uses aggressive framing but makes a specific textual argument about Arlecchino's character writing backed by story evidence; lore_analysis over reaction_opinion
"How would you react if Paimon was actually Asmoday? Like the theory is true the whole time? Or what if she never was, or just someone connected, daughter perhaps? What if Paimon was never emergency food?",lore_analysis,Edge case - poses a lore theory question; minimal reasoning but the content is lore speculation not reaction
"What could possibly kill this thing? How powerful was this snake when it was alive? The ground already covered the mouth, so it was there for a very long time",lore_analysis,Edge case - brief but asks a specific lore question with supporting observation about the environment
I think they should abandon the rule that a character has to meet the Traveler and become friendly with them before they can be playable. I've always felt this rule is a bit limiting... Maybe introduce some kind of power simulation system that lets the Traveler experience a recreation of another character's abilities... stop forcing the Traveler into every character story. Plenty of gacha games already tell character-focused stories without involving the protagonist at all.,reaction_opinion,Edge case - long post but primarily expresses a personal opinion/preference about game design without strong lore grounding; closer to reaction_opinion than lore_analysis
So like... is lohen alright? who tf hired this guy to be a knight? he looks like he'd try to assassinate the person he's guarding,reaction_opinion,Humorous reaction to a character's appearance
"WHAT THE HELL IS THIS! some rando joined my world, brought this horror beyond human comprehension, then left. what is going on I'm assuming they managed to cause a weird bug and they somehow grabbed their new pet into my world? anyone seen ts before? how did they make it portable?",gameplay_advice,Asking a specific question about a game bug/mechanic
"The archons and dragon sovereigns are not allowed to participate, they can only guide them and order their nation to victory. 1: which nation has the highest amount of arms? 2: which nation would fall first? 3: which nation would emerge victorious in the end? 4: which nation has the strongest individuals?",lore_analysis,Lore speculation prompt - structured questions about in-world power dynamics
They seriously need to fix the drop rate omg. I've literally cleared every weekly boss and only got one measly Solvent.,reaction_opinion,Complaint/rant about RNG drop rates
I wonder why they decided to make Cryo the big finale nation? Just keeping with the tradition of video game last levels being winter themed?,lore_analysis,Edge case - poses a question about game/narrative design with brief reasoning; lean lore_analysis
"Can't Bad Guys Have Fun? I see people complaining that the Fatui were supposed to be evil - so why are they being cute and playing and stuff... I realised that the Fatui harbingers are not evil for the love of the game (except Dottore the chad, maybe). They are just military agents doing missions given by their queen.",lore_analysis,Makes a character interpretation argument with supporting textual reasoning about the Fatui
"This might be an unpopular opinion, but I just don't like anything about this character. Alice as a character just happens to be ridiculously strong or at least able to solve any problem relatively easy but chooses to be silly and whimsical about it... Maybe it's bias, I never liked Klee either, a character who exists just to be cute and makes all the other characters have to stop and baby her isn't a good character to me either.",reaction_opinion,Opinion/rant about character design preferences - personal reaction without structured argument
"I've been holding my pulls for two years, yes I'm that committed. her C6 seems too good for my C6 Arle. Personality wise, she seems to have golden angel wings so with Arlecchino you have an angel and a demon in the same team, I find that even more tuff.",reaction_opinion,Pull sharing + excitement post
"Why do the harbingers call her Rosalyne, did she not like her Russian government mandated name that Elsa gave her, what happened.",lore_analysis,Lore question about character naming and Signora's backstory
Is it just me or does Hoyo hate the new traveller skin? This event is post nod krai right? So why do they have traveller in their default skin when I have Lumine in her nod krai outfit???,reaction_opinion,Complaint about a game inconsistency
Continuing Natlan story quest and Chasca's asymmetrical design kinda bugs me.. remind me of CBT mona design lol,reaction_opinion,Reaction to character design
"Why does ZhongLi get the old fossil treatment, but Ganyu doesn't? They be treating ZhongLi like a grandpa, but Ganyu doesn't get a glimpse of grandma treatment",reaction_opinion,Observation about fandom treatment of characters - no argument
plz help. How am i supposed go there,gameplay_advice,Direct request for gameplay/exploration help
Isn't Nicole's passive exactly same as any other compasses? Why are people acting like she's better? Her passive is 1:1 to compasses plus you can't even use it if you don't have treasure compass of particular region... Honestly for me Her whole passive feels like a cosmetics nothing more.,gameplay_advice,Edge case - detailed analysis of a character's passive mechanic vs treasure compasses; leans gameplay_advice because it's about game mechanics even though it has a complaint tone
Is it just me or does Hoyo hate the new traveller skin? It's 6.6 and the traveler still has the old outfit,reaction_opinion,Short complaint about a game issue
Why aren't more people talking about how they literally based Dottore's first boss design on Mihoyo's logo?,lore_analysis,Makes a specific visual observation about game design with a lore/design claim
"At this point I think Genshin Devs are trolling players. We all saw how the latest event which should have given a f2p weapon for nicole or sandrone is now just a cheap skin... Like we are getting the short end of stick among all hoyo games. HSR is getting limited character, old characters buff and even S rank artifacts maker event...",reaction_opinion,Rant/complaint about game updates and developer decisions - emotional reaction with comparison
"The writing has turned Arlecchino into a hypocrite. Initially, Arlecchino was portrayed as someone that has no real loyalty to the Fatui but is forced to stay loyal because working with them is better than the alternative... After Dottore attacked Collumbina and the gang were gearing up to fight against him, Arlecchino said she would join the fight against Dottore, even if the Tsaritsa forbids it... Like Arlecchino you're seriously telling me that you are willing to stand up against the Tsaritsa in order to help protect your coworker... but you won't stand up to her in order to protect your children?",lore_analysis,Detailed character writing analysis with specific textual evidence and a clear thesis about narrative inconsistency
ALMOST 2 YEAR OF TRYING TO COMPLETE THIS SINGULAR ACHIEVEMENT. FINALLYYY YEAHHHHHHH,reaction_opinion,Achievement celebration post - pure emotional reaction
"The butterfly effect of ei's actions is so funny to me, the way several plot points and archon quests in this game are a result of her creating scaramouche, I don't think any other playable haunts the narrative indirectly like this",lore_analysis,Makes a specific claim about Ei's narrative impact on the game's story with reasoning
Oh these buttermilk Bastards think they funny. STANDARD-ized test??? I swear someone at Hoyo saw the uproar of Lohen not being standard and named it this on purpose,reaction_opinion,Reaction to a game naming choice - humorous observation
New player here.. so are guns supposed to be common in the game? Was this area added recently or something?,gameplay_advice,New player question about game content
"I hate how so many people just write off Ronova's actions as 'she was following orders' when we literally see the scene of her casting the curse of immortality and leveling Khaenri'ah with no remorse or sorrow in her soul, she did not care, you don't need to justify your fav's horrendous actions.",lore_analysis,Makes a character interpretation argument with specific scene evidence
What's a character that has a great playstyle/interesting kit potential but does very low DMG (meta irrelevant),gameplay_advice,Gameplay discussion question about character viability
Why isn't he voiced the first moment we see him again in literal years?,reaction_opinion,Complaint about a game production choice
"If you really think about it, this is one of the most diabolical sentences to ever be said, TO HER OWN BROTHER NO LESS, Dainsleif is a simp of unimaginable proportions",reaction_opinion,Humorous reaction to a story line - no analytical content
One of my many hopes for the upcoming Snezhnaya arc is for this goth girl to finally make a comeback. It's been almost 3 years since (some of) us first saw this insanely gorgeous Fontaine goth girl... So who knows? Maybe we'll finally see this design make its way back into the game during the Snezhnaya arc,reaction_opinion,Wishlist/hope post about a beta character - personal desire
"THROWBACK: I'm so glad they completely got rid of this drop mechanic... I still vividly remember the pain of trying to build a new Sumeru character, only to realize that throughout my entire Sumeru exploration, I had never used a Burning team even once. What about you guys? Would you like to see this mechanic, or maybe some other forgotten mechanic make a comeback?",gameplay_advice,Discusses a specific game mechanic and invites discussion about it - gameplay focused
"Played Genshin Impact for the first time and the world was beautiful. I need a guide and stuff that I should know before going further in the storyline, please help",gameplay_advice,New player explicitly asking for game guidance
"People say Varka is as strong as Capitano, so, would he perform the same if Varka decided to fight Mavuika? Is Varka really that strong as everyone make him out to be?",lore_analysis,Lore power-scaling discussion with specific characters
"Which 5* character's personality and design you absolutely adore but hate their gameplay? I'll go first, Nefer.",gameplay_advice,Edge case - asking about a character whose gameplay you hate; mixed gameplay/reaction; lean gameplay_advice because the primary content is about kit/playstyle evaluation
Aino c6 or illegal c0? All f2p do i use him or aino?,gameplay_advice,Specific team/character optimization question
"They made a whole domain, boss fight and theme for him only to just return a tiny bit and never again. Genuinely what will happen to rerir's boss fight and domain",lore_analysis,Question about a story character's narrative/game role with reasoning
"Jesus why is there so much yap front of these event now, I don't care about these small children please add a skip for events hoyo. I just want to do the minigames and leave, why cant it just be 'oh letter for event, oh place is already set up? Lets play and do whatever story later'",reaction_opinion,Complaint/rant about event structure
Best Quests for Primogems? I totally didn't pull Durin when I was originally planning on pulling Mavuika because Durin would be more beneficial for Arlecchino and ended up not having enough pulls for Mavuika...,gameplay_advice,Asks a gameplay question about primogem farming - the pull story is context
Wtf I can't continue main story because I haven't done the TCG,reaction_opinion,Complaint about a game gate - reaction/frustration post
"The Tsaritsa's plan better not just be 'I'm reviving the third descender lmao' and the abyss sibling's plan better not just be 'im reviving Khaenri'ah lmao' no i need jaw dropping plan. These two are on intense fraudwatch now cause we've reached end game, they better have the most diabolical jaw dropping plan imaginable",lore_analysis,Edge case - expresses expectations about story payoff; has lore framing but is primarily a reaction/hot take; lean reaction_opinion
What do you think of The Rooster (Pulcinella)'s 3D model?,reaction_opinion,Opinion request about character design - reaction/opinion content
"well fck me I guess, I didnt know this was even possible. gave the exact same thing",reaction_opinion,Reaction to a game RNG event (getting same artifact twice)
"I wouldn't have thought that there would be a time where my mora would drop to a single digit... I guess I should've seen it coming considering I built Lauma, Linnea, Nicole, Durin and some other 4 stars in the span of 2 months.",reaction_opinion,Sharing a personal game milestone/struggle - reaction post
"Free for all: if all characters below got into a bar fight, who would win? No Vision, no power, no weapons, just pure brawl. 1: Who would be the first to get knocked out? 2: Who's the last one standing? 4: Who's considered the strongest and toughest physically?",lore_analysis,Edge case - hypothetical power-scaling discussion; leans lore_analysis over reaction_opinion because it asks structured questions about in-world character attributes
"Do you miss his music? After the last patch in the world quest and this AQ quest where i listened to the old battle theme during those battles, it made me nostalgic... I wonder what kind of theme we had version or take of the 3 battle theme songs that sounded if he stayed",reaction_opinion,Nostalgia post about game music - emotional reaction
Is there any teams that have been meta for a long time and most likely will at least somewhat stay meta? I want to pull for the most reliable characters.,gameplay_advice,team-building
"I intend to get Sandrone when she release and the support that will come out in the coming months, but currently QiQi and Yae seems to be suggested for her team, however I like both. So, I was wondering among the rooster I have what could make a suitable team for Sandrone to start out.",gameplay_advice,team-building
"Does neuvillette furina mavuika and Jean work as a team? If so how do I build them, like they are typically build or no? Also what's the proper team rotation, I've been playing around with it and each time mavuika fire thing doesn't last enough to reach neuvillette during a rotation I was doing which was neuvillette skill, furina skill and ult, mavuika skill and ult, Jean skill and ult, neuvillette charged attack",gameplay_advice,team-building
"I feel like all these new characters require some other characters in a team. I'm trying to build teams that could work for end-game content/worth the investment as a F2P, and I want to pull characters that would last long. I'm AR 39 with these characters: lv.70 Fischl, lv. 70 Sucrose, lv. 50 Diluc, lv. 50 Kaeya, lv. 40 Bennet, lv. 25 Barbara, lv. 24 Noelle, lv. 23 Lisa, lv. 20 Traveler (C4), lv. 20 iangling, lv. 20 Amber, lv. 1 Qiqi, lv. 1 Prune, lv. 1 Lynette (C1), lv. 1 Mika (C1), lv. 1 Collei, lv. 1 Xingqiu. Are there any characters I should level up for the most optimal team right now, especially with the stellar conduct? (Maybe Qiqi? I just got her.) Should I level up traveler? I really like Colombina, but I don't think I can get her teammates anytime soon. I love Raiden Shogun, but is pulling her a good idea? I don't really understand stellar conduct and what characters are involved in it.",gameplay_advice,team-building
"what is the best team (melt or freeze) I could use to utilize him as a mainDPS? my current team is Lohen - Durin - Xilonen - Xiangling, but his damage isn't too good despite having 41/207 crit. from relevant 5* characters I have Furina, Columbina and Mona, and no other pyro or cryo 5* aside from the ones mentioned.",gameplay_advice,team-building
"Can I afford to switch my prune's sands to ER? With ER sands she has about ~2400 atk, with atk sands she has ~2600, I got her with 169% ER and she doesnt get her ult in some rotations and its really annoying...",gameplay_advice,team-building
"I'm looking for some team recommendations for my Mavuika. She's currently C2R1, though I'm still working on getting her artifacts to a be a better spot. I also have Emilie at C1R0 and I'm definitely planning to pull for Citlali in 6.7 . I'd appreciate any help!!!",gameplay_advice,team-building
"I just got Lohen (so happy rn).I have Mona, Furina and Escoffier so I can run his freeze team. I have Durin but I don't have Nicole. Should I run the freeze team or Durin team? And if so what other units should I put in the Durin team (I don't have Citlali or Xilonen)",gameplay_advice,team-building
I have been farming durins artifact set for TWO MONTHS. Mind you in that same domain I'm farming for Linnea's artifacts and Klees artifacts. I've only gotten one good artifact for durin and it's not even double crit in those two months. Linnea is a rare chance and I still got nothing for Klee. I've been doing this domain 2-3 times a day for the past two months I'm so tired.,reaction_opinion,rant
The most I've saved was around 120 and that was only because I was very inactive for a year straight and barely logging in for commissions and events till I quit. My other savings was recent when I came back to the game after 3.7 years and caught up to story/explored some parts which gave me around 115 pulls.,gameplay_advice,pulling advice
"Proud to say I've just got the most time-consming namecard! I really like it, it's so pretty :D",reaction_opinion,feeling
"The balika in Arabalika can also means little girl. And the name seems to be taken from a character in. The Mahabharata named Ambalika who is a princess the other Aranara such as Aranakula, Arakunti and Arapandu are also names of characters from Mahabharata, the names being Nakula, Kunti and Pandu. So I like to imagine this big and strong Aranara named little girl. Though Bal in that name means strength as well. But Balika is used. But yeah it most likely meant to be used for strength. As for their voice I like to imagine their speech sounds lik singing and the meaning directly appears in your head. Cause we can only hear their voice when they sing.",lore_analysis,explain character naming
"More like Dori cuz wtf she knows and is friends with SKIRK and ALICE. Like atleast Alice makes sense for her random connections, she is a powerful mage and has lived long time. But how tf did Dori manage to get Skirk as a customer and ALICE as an investor? I need to know how, is her Merchant rizz that good? Heck, she even knows Nefer(prob not that much of a surprise but still).",lore_analysis,chaacter relationship
In our first reunion with the abyss twin they are shown to wield their original sword as well as their full powers despite Asmoday taking both of those away from the Traveler.Then of course there is the confirmation of her new master in Temple of Space as Melanta specifically uses the pronouns of the abyss twin when talking about Asmoday leaving the temple.,lore_analysis,about story/quest
I've only just started playing but I adore Bennett. I want to give him a hug and tell him I will find whoever keeps throwing something at the back of his head. Personally my most used and favorite is Noelle though. Something about her. Like I said Im new to the game though.,reaction_opinion,feeling
"the only person who can naturally use more than one - Signora could use Cryo and Pyro due to her Delusion, same with Child, Electro and Hydro, Scaramouche with the False God, and for a moment Kazuha could use Electro and Anemo due to Vision bs that never came up again.",lore_analysis,about story/quest
"Varka. So the reason is actually quite different too. Varka is an on-field dps and does most of his damage. Even though he uses Durin, he's only there for res shred and a small amount of damage. In lohen's case, he's there to provide Durin with cryo application to melt. Lohen's personal damage isn't even close to Varka but at a team level because of melt, he comes close to about 80% of Varka's team dps. Varka is still the definitive hex dps, Lohen is a driver who makes Durin a dps in his team… basically a durin dlc to use his dark mode",gameplay_advice,team-building
"They arrived when you least expected. I'm still a newbie and only started playing a few weeks ago. My plan was get as many Bennett's constellations as possible, so I decided to build pity on Mavuika's banner. Why Mavuika? Because I somehow got her weapon while pulling for Lohen's weapon, sigh.I only managed to get 2 Bennett constellations while building pity at around 60 pulls. Then, completely out of nowhere, Mavuika herself dropped and totally ruined my plans. I know it is my gambling addiction fault but I didn't believe I am that lucky to get her quite early. I wanted to build a Lunar team with Columbina in the next banner then save for Flins in 7x, but I guess that dream is dead now. Sorry, Columbina and Flins. Should I force myself pulling Citali to make Mavuika work, or should I treat her as pyro enabler for other dps?",gameplay_advice,team-building
im trying to 100% dragonspine after 4 years and im LOSING IT. THIS DISAPPEARS COMPLETELY AS SOON AS I TOUCH IT PLEASE HELP,gameplay_advice,Edge case - asking for help vs feeling
Can someone dumb down teambuilding and artifacts to me. What artifacts do I use and what sets should I give everyone?,gameplay_advice,team/artifact help
How do I make my characters a good team? I'm only AR 25 and don't know which artifacts to use.,gameplay_advice,team-building
How do I build my Keqing? I recently lost my 50/50 and want to know which weapon and stats to use.,gameplay_advice,build help
Please give me advice for which team I should use.,gameplay_advice,team advice
What characters should I pull as a completely beginner? I just started playing a few days ago and want one good team for story and exploration.,gameplay_advice,beginner pull advice
How do I build my Sucrose? These are her artifacts; should I prioritize EM and ER?,gameplay_advice,build help
Which team should I build and who should I main? I'm one month old in the game and want to keep Kuki if possible.,gameplay_advice,team-building
"Should I pull? I'm a super casual gamer and don't have much time, so I need advice before spending wishes.",gameplay_advice,pull advice
"Which team should I go for? I am new to Genshin Impact and don't know much about characters, artifacts, or weapons.",gameplay_advice,team-building
Artifacts and team recommendation: I just got Furina and want to know what team I can make and what artifacts I should farm.,gameplay_advice,team/artifact help
When do you pull for a character? What guides the timing of your pulls when trying to collect characters?,gameplay_advice,pull strategy
"How do I build Baizhu? I got him while trying for Shenhe and want to know his stats, artifacts, and weapon options.",gameplay_advice,build help
"Which team should I build? I'm new and overwhelmed by the characters, so I want to know which team is worth investing resources into.",gameplay_advice,team-building
Who should I pull for? I still can't 36-star the Abyss and don't know how to fix my account.,gameplay_advice,pull advice
"Team(s)? I took a break, feel like I can't make anything powerful. What should I do and where should I focus?",gameplay_advice,team-building
What team do you use for farming the new artifact domain? Those metachurls split up and waste a lot of time.,gameplay_advice,team/domain help
How many teams do I need? I'm not sure how many characters or teams I should focus on building.,gameplay_advice,team-building
Which team should I play with? I want advice on which team would help me win more battles and be more efficient.,gameplay_advice,team-building
Returned to Genshin and need help with build/team. My Rosaria's damage is low and I don't know what team to put together.,gameplay_advice,build/team help
Fairly new player here. Just got Xilonen; how do I build her and what should my current team look like?,gameplay_advice,build/team help
What teams would be best for general use? I want daily activity teams instead of only Spiral Abyss focused teams.,gameplay_advice,team-building
"What artifacts should I use for my Skirk team? I have Skirk, Shenhe, Furina, and Charlotte and I'm stuck on artifact sets.",gameplay_advice,artifact advice
Genshin teams: play around with reactions and find team synergies that feel fluid around that reaction.,gameplay_advice,team advice
"What team should I make? I started recently and need advice on characters, artifacts, levels, and weapons.",gameplay_advice,team-building
Which team would you choose? I got suggestions for four teams and want to know which one people would play.,gameplay_advice,team-building
"Banner suggestions: I'm F2P, so I wonder if it's worth going for Skirk or Esco when the 4-stars are bad.",gameplay_advice,pull advice
"Can someone explain the weapon banner? Can I lose to a non-banner weapon, and does pity carry over?",gameplay_advice,banner help
"Based on my characters, who should I pull for: Columbina, Sandrone, or Raiden? I can't clear Spiral Abyss floor 5 because I don't have two built teams.",gameplay_advice,pull/team advice
Team Recommendations and Help Needed on Spiral Abyss.,gameplay_advice,team-building
Which one of them has higher team damage output if they have similar support units?,gameplay_advice,damage comparison
Need Help on Pulling.,gameplay_advice,pull advice
How do some of you manage to save 200-500+ pulls?,gameplay_advice,pull strategy
"What materials and artifacts should I go after? I need guidance on builds, teams, talent priorities, and team rotations.",gameplay_advice,build help
"Genuinely how to build quickly in Genshin? I need to improve my account, get better artifacts, and build characters past level 60.",gameplay_advice,build help
AR55 need help navigating mid-game team building. I need a clear priority list for talents and artifact farming.,gameplay_advice,mid-game advice
What's your method for artifact building? I want to know how people decide when a build is serviceable.,gameplay_advice,artifact advice
I'm a new player. Who should I pull for in the future?,gameplay_advice,pull advice
Who should I plan to pull for as a returning player?,gameplay_advice,pull advice
"What artifacts do I use in this team, and do they even matter?",gameplay_advice,artifact advice
Who would be a good team for me?,gameplay_advice,team-building
Need help making a team.,gameplay_advice,team-building
What should I do in regard to the next banner?,gameplay_advice,banner advice
Should I pull or save?,gameplay_advice,pull advice
"Genshin lore confuses me. Anyone can help me understand the gods, archons, gnoses, and why Phanes fought the dragons?",lore_analysis,lore question
"Sky is fake because Celestia wanted to seal off Teyvat and create their own sphere of influence, free from Abyss powers.",lore_analysis,lore theory
Can we all agree that a key reason why the main Archon quests are getting more lore-forward is because we are nearing the end of the plot?,lore_analysis,story analysis
Question about Khaenri'ahns hating Celestia: why is everyone convinced Celestia destroyed Khaenri'ah because of advanced technology?,lore_analysis,lore question
Genshin and their Fatui Harbingers: a long post about the lore behind the Fatui and Delusions.,lore_analysis,fatui lore
"Theory about Teyvat, dragons, and the Abyss. The Abyss and Voracity have parallels as destructive forces.",lore_analysis,lore theory
A lore theory after finishing Version Luna IV Archon Quest: why did Ronova not stop Dottore if he became powerful enough to rival them?,lore_analysis,lore theory
"Are the Fatui as bad as we think they are? They scheme for Gnoses and fuel conflicts, but also do charity work and take care of people.",lore_analysis,fatui analysis
The twins aren't actually twins theory: one sibling may belong to Teyvat because they lived in Khaenri'ah for 500 years.,lore_analysis,lore theory
"Is there a story quest for each subarea per nation in Teyvat, like Tsurumi Island or Jeht's quest?",lore_analysis,world quest lore
What is the true purpose behind the Archon War? Was it Celestia's plan to divide control over Teyvat?,lore_analysis,lore question
"My silly theory is that the third descender was our twin, explaining why the Abyss twin is treated as part of Teyvat.",lore_analysis,lore theory
"What happened to Khaenri'ah 500 years ago? I know Celestia destroyed it, but what do we know so far?",lore_analysis,lore question
Why is nobody talking about this massive lore drop? The spaceship lore escalated quickly and now we know its shape and where it landed.,lore_analysis,lore discussion
What are the motivations of the Fatui? A discussion about the lore behind the Fatui and Delusions.,lore_analysis,fatui lore
Genshin Impact theory with timeline: Celestia may have used the Third Descender as a power source to stabilize reality.,lore_analysis,lore theory
"Do we know what the other Fatui Harbingers are doing? Natlan lore hints Capitano is busy, but the others are still unclear.",lore_analysis,fatui lore
Is the Abyss Twin the Heavenly Principles? The theory argues that the Abyss sibling may be the Primordial One.,lore_analysis,lore theory
"So all of these groups are bad: Celestia, Fatui, Abyss, and Abyss Order? Celestia nuked Khaenri'ah, but Khaenri'ah caused the Cataclysm.",lore_analysis,lore analysis
The lore drop about the essence of the Abyss makes me wonder if Nibelung was corrupted because he was the rejected fated ruler of Teyvat.,lore_analysis,lore theory
"Is there any lore reason for the Archons missing in world quests when they only appear in Archon quests, story quests, or events?",lore_analysis,lore question
The 11 Fatui Harbingers represent the elemental reactions.,lore_analysis,lore theory
What do you think of Celestia? Are we ever going to be able to reach it and explore it?,lore_analysis,lore question
6.6 Archon quest discussion: the lore we learned so far did not contribute much to understanding the current Archon Quest.,lore_analysis,story analysis
Is it me or the Archon Quests? Enkanomiya had huge lore revelations hidden in books rather than main quests.,lore_analysis,story analysis
About the 4.7 Archon Quest: it felt like a lore dump more than real progression on the Abyss sibling's story.,lore_analysis,story analysis
"Star Odyssey Skirk lore reveals, descenders, and the Abyss: the Abyss sibling may not count as a descender because they cannot reshape fate.",lore_analysis,lore theory
Can we talk about how Fontaine is literally a dictatorship now after the Archon Quest ending?,lore_analysis,story analysis
Asmoday's new master has been hinted at since the very beginning.,lore_analysis,lore theory
Alice's connections are so funny to me; the most random group of individuals are associated with her.,lore_analysis,character lore
Durin is the most Genshin character because explaining him requires so many Teyvat terms and conditions.,lore_analysis,character lore
"Whenever the Harbingers talk about Rosalyne, the Traveler has no clue what they mean because they don't know Signora's real name.",lore_analysis,lore observation
"TIL Tighnari is the only Genshin character so far designed by an outsourced artist, and that choice has implications for his design.",lore_analysis,design/lore note
Why do the Harbingers call her Rosalyne? Did Signora not like her government-mandated Snezhnayan name?,lore_analysis,lore question
How well do you think each Fatui Harbinger has been handled so far in the story?,lore_analysis,story analysis
All the Fatui Harbingers: a spoiler discussion about their identities and story roles.,lore_analysis,fatui lore
True meaning behind the Fatui.,lore_analysis,fatui lore
Ranking the cast and Fatui Harbingers in terms of their writing and impact on the story.,lore_analysis,story analysis
Archon origin stories: how each nation's god became an Archon matters to the current plot.,lore_analysis,lore analysis
Dottore is getting killed in a very specific way at the end of Luna 4.,lore_analysis,lore theory
This banner feels like it will never end.,reaction_opinion,banner complaint
